Date,Adj Close,Close,High,Low,Open,Volume
2024-11-08,3660.300048828125,3660.300048828125,3667.0,3620.64990234375,3640.39990234375,1622142
2024-11-11,3628.85009765625,3628.85009765625,3661.0,3606.0,3646.0,926127
2024-11-12,3591.35009765625,3591.35009765625,3651.0,3580.0,3650.0,1116206
2024-11-13,3547.949951171875,3547.949951171875,3604.85009765625,3535.64990234375,3585.0,1568694
2024-11-14,3526.25,3526.25,3565.75,3500.14990234375,3558.0,1291765
2024-11-18,3542.14990234375,3542.14990234375,3568.300048828125,3510.85009765625,3521.10009765625,1233217
2024-11-19,3505.89990234375,3505.89990234375,3607.0,3495.0,3559.89990234375,1826460
2024-11-21,3483.5,3483.5,3530.550048828125,3452.449951171875,3530.0,1510581
2024-11-22,3603.5,3603.5,3613.5,3473.10009765625,3500.0,2534018
2024-11-25,3753.0,3753.0,3761.0,3654.0,3660.0,4753829
2024-11-26,3702.60009765625,3702.60009765625,3754.89990234375,3690.0,3754.89990234375,1141534
2024-11-27,3698.699951171875,3698.699951171875,3720.0,3685.0,3704.0,971816
2024-11-28,3666.050048828125,3666.050048828125,3720.5,3648.0,3700.0,2124283
2024-11-29,3724.800048828125,3724.800048828125,3750.0,3635.10009765625,3635.10009765625,2094305
2024-12-02,3704.050048828125,3704.050048828125,3717.85009765625,3672.89990234375,3706.85009765625,1158369
2024-12-03,3787.050048828125,3787.050048828125,3798.85009765625,3701.5,3721.0,3252670
2024-12-04,3789.89990234375,3789.89990234375,3835.0,3758.050048828125,3775.0,2510166
2024-12-05,3831.550048828125,3831.550048828125,3884.0,3760.0,3810.0,2765170
2024-12-06,3866.699951171875,3866.699951171875,3883.949951171875,3800.0,3832.0,1856562
2024-12-09,3947.300048828125,3947.300048828125,3959.0,3867.5,3867.5,3332753
2024-12-10,3923.14990234375,3923.14990234375,3963.5,3901.300048828125,3955.0,2349493
2024-12-11,3916.75,3916.75,3947.64990234375,3902.0,3923.14990234375,1237958
2024-12-12,3859.89990234375,3859.89990234375,3959.0,3846.949951171875,3930.0,1899867
2024-12-13,3887.0,3887.0,3898.0,3794.199951171875,3859.0,2300361
2024-12-16,3877.85009765625,3877.85009765625,3914.39990234375,3857.25,3882.0,918660
2024-12-17,3807.199951171875,3807.199951171875,3875.39990234375,3797.0,3863.050048828125,1690180
2024-12-18,3758.14990234375,3758.14990234375,3819.0,3745.0,3807.199951171875,1318341
2024-12-19,3716.35009765625,3716.35009765625,3762.199951171875,3700.0,3702.14990234375,1856838
2024-12-20,3629.85009765625,3629.85009765625,3725.0,3607.10009765625,3716.35009765625,2796593
2024-12-23,3640.5,3640.5,3700.0,3617.050048828125,3670.0,1217612
2024-12-24,3639.75,3639.75,3679.0,3632.39990234375,3647.949951171875,627922
2024-12-26,3629.5,3629.5,3665.14990234375,3610.35009765625,3658.0,1124705
2024-12-27,3608.10009765625,3608.10009765625,3643.64990234375,3603.5,3632.39990234375,1309122
2024-12-30,3578.949951171875,3578.949951171875,3623.0,3566.0,3607.89990234375,1591690
2024-12-31,3607.64990234375,3607.64990234375,3620.60009765625,3550.0,3562.550048828125,1267628
2025-01-01,3667.5,3667.5,3689.0,3599.949951171875,3600.0,1202029
2025-01-02,3713.5,3713.5,3724.10009765625,3650.050048828125,3676.60009765625,1882900
2025-01-03,3659.89990234375,3659.89990234375,3719.89990234375,3651.449951171875,3708.0,1290107
2025-01-06,3603.199951171875,3603.199951171875,3692.25,3585.5,3684.75,1212012
2025-01-07,3643.300048828125,3643.300048828125,3649.85009765625,3595.699951171875,3607.10009765625,1453540
2025-01-08,3596.35009765625,3596.35009765625,3663.85009765625,3590.0,3662.0,1813201
2025-01-09,3527.89990234375,3527.89990234375,3606.300048828125,3486.0,3599.89990234375,2921681
2025-01-10,3536.14990234375,3536.14990234375,3552.199951171875,3492.300048828125,3499.949951171875,1794238
2025-01-13,3464.300048828125,3464.300048828125,3534.5,3448.60009765625,3505.550048828125,2137212
2025-01-14,3462.60009765625,3462.60009765625,3491.949951171875,3448.60009765625,3465.85009765625,2924491
2025-01-15,3501.39990234375,3501.39990234375,3526.14990234375,3471.300048828125,3471.300048828125,1155446
2025-01-16,3507.89990234375,3507.89990234375,3543.449951171875,3483.75,3535.0,2305460
2025-01-17,3568.64990234375,3568.64990234375,3579.85009765625,3511.949951171875,3524.0,1600246
2025-01-20,3593.0,3593.0,3617.14990234375,3556.5,3574.89990234375,1593334
2025-01-21,3541.10009765625,3541.10009765625,3643.300048828125,3528.10009765625,3612.75,2576596
2025-01-22,3518.199951171875,3518.199951171875,3582.35009765625,3490.10009765625,3563.0,1626055
2025-01-23,3503.25,3503.25,3527.800048828125,3460.60009765625,3492.0,1993204
2025-01-24,3458.199951171875,3458.199951171875,3521.10009765625,3446.050048828125,3514.5,1206454
